latitude_bin,longitude_bin,hour,alert_count
41.980000,-87.800000,18:00,304
41.770000,-87.630000,21:00,304
41.980000,-87.760000,22:00,303
41.870000,-87.720000,19:00,303
41.820000,-87.720000,16:00,303
41.950000,-87.740000,00:00,303
41.860000,-87.650000,14:00,303
41.830000,-87.690000,19:00,302
41.870000,-87.770000,15:00,302
41.980000,-87.820000,18:00,302
41.890000,-87.620000,00:00,301
41.870000,-87.630000,20:00,301
41.910000,-87.670000,01:00,301
41.690000,-87.600000,03:00,301
41.870000,-87.680000,17:00,301
41.870000,-87.730000,21:00,301
41.830000,-87.680000,23:00,300
41.870000,-87.670000,14:00,300
41.870000,-87.750000,21:00,300
41.870000,-87.740000,22:00,300
41.750000,-87.630000,18:00,299
41.800000,-87.640000,15:00,299
41.940000,-87.730000,17:00,299
41.870000,-87.730000,15:00,299
41.870000,-87.710000,20:00,298
41.820000,-87.640000,23:00,298
41.870000,-87.760000,22:00,298
41.840000,-87.650000,18:00,298
41.980000,-87.830000,20:00,298
41.870000,-87.720000,22:00,297
41.890000,-87.650000,18:00,297
41.870000,-87.760000,15:00,297
41.970000,-87.760000,21:00,297
41.870000,-87.730000,17:00,297
41.870000,-87.770000,16:00,296
41.820000,-87.730000,15:00,296
41.710000,-87.630000,19:00,295
41.730000,-87.630000,20:00,295
41.840000,-87.630000,14:00,295
41.980000,-87.820000,17:00,295
41.960000,-87.760000,01:00,295
41.730000,-87.630000,22:00,294
41.870000,-87.760000,20:00,294
41.870000,-87.720000,21:00,294
41.910000,-87.680000,23:00,294
41.730000,-87.630000,21:00,294
41.870000,-87.680000,23:00,294
41.940000,-87.730000,19:00,293
41.870000,-87.750000,23:00,293
41.950000,-87.730000,16:00,293
41.820000,-87.640000,11:00,292
41.830000,-87.690000,20:00,292
41.870000,-87.750000,12:00,291
41.930000,-87.720000,12:00,291
41.650000,-87.590000,18:00,291
41.820000,-87.720000,17:00,291
41.720000,-87.630000,19:00,290
41.940000,-87.710000,12:00,290
41.870000,-87.710000,21:00,290
41.750000,-87.630000,23:00,289
41.980000,-87.660000,18:00,289
41.720000,-87.630000,13:00,289
41.820000,-87.640000,17:00,289
41.720000,-87.630000,18:00,288
41.940000,-87.730000,18:00,288
41.930000,-87.680000,21:00,288
41.820000,-87.730000,14:00,287
41.850000,-87.620000,21:00,286
41.920000,-87.680000,12:00,285
41.940000,-87.730000,14:00,285
41.810000,-87.750000,22:00,285
41.930000,-87.680000,22:00,285
41.990000,-87.660000,12:00,285
41.840000,-87.640000,11:00,285
41.830000,-87.680000,18:00,285
41.840000,-87.660000,18:00,284
41.870000,-87.730000,22:00,284
41.870000,-87.700000,22:00,283
41.800000,-87.640000,17:00,283
41.920000,-87.640000,22:00,282
41.920000,-87.680000,18:00,282
41.720000,-87.630000,12:00,282
41.770000,-87.630000,18:00,281
41.980000,-87.840000,20:00,281
41.840000,-87.660000,22:00,281
41.940000,-87.730000,22:00,281
41.870000,-87.740000,23:00,280
41.980000,-87.800000,14:00,280
41.780000,-87.640000,14:00,280
41.650000,-87.590000,22:00,279
41.990000,-87.680000,13:00,279
41.740000,-87.630000,21:00,278
41.840000,-87.630000,12:00,278
41.920000,-87.670000,20:00,278
41.870000,-87.750000,22:00,278
41.720000,-87.630000,14:00,277
41.830000,-87.700000,23:00,277
41.870000,-87.750000,16:00,277
41.870000,-87.750000,14:00,277
41.950000,-87.650000,13:00,276
41.790000,-87.640000,13:00,276
